mean_test_score,mean_fit_time,std_test_score,clf,clf__C,clf__gamma,clf__kernel,clf__criterion,clf__max_depth,clf__min_samples_leaf
0.15625,0.08204827308654786,0.015811388300841892,SVC,10.0,1.0,rbf,,,
0.15125,0.08655457496643067,0.014469796128487781,SVC,1.0,1.0,rbf,,,
0.14375,0.047397708892822264,0.011180339887498947,SVC,100.0,0.001,poly,,,
0.14375,0.059930038452148435,0.011180339887498947,SVC,0.1,0.01,poly,,,
0.10999999999999999,0.06879844665527343,0.006373774391990978,SVC,0.1,0.001,rbf,,,
0.10625,0.059600210189819335,0.003952847075210473,SVC,10.0,0.001,poly,,,
0.10500000000000001,0.06479883193969727,0.0024999999999999966,SVC,1.0,0.001,poly,,,
0.10500000000000001,0.07639427185058593,0.0024999999999999966,SVC,0.1,0.1,rbf,,,
0.10500000000000001,0.07879853248596191,0.0024999999999999966,SVC,0.1,1.0,rbf,,,
0.10500000000000001,0.055999469757080075,0.0024999999999999966,SVC,0.1,0.001,poly,,,
0.10500000000000001,0.07322778701782226,0.0024999999999999966,SVC,0.1,0.001,sigmoid,,,
